time_sec,speed_mph,speed_kmh
482.0,35.1,56.487974400000006
483.0,35.2,56.64890880000001
484.0,35.5,57.13171200000001
485.0,35.2,56.64890880000001
486.0,35.0,56.327040000000004
487.0,35.0,56.327040000000004
488.0,35.0,56.327040000000004
489.0,34.8,56.0051712
490.0,34.6,55.68330240000001
491.0,34.5,55.522368
492.0,33.5,53.91302400000001
493.0,32.0,51.499008
494.0,30.1,48.441254400000005
495.0,28.0,45.061632
496.0,25.5,41.038272000000006
497.0,22.5,36.21024
498.0,19.8,31.865011200000005
499.0,16.5,26.554176000000002
500.0,13.2,21.2433408
501.0,10.3,16.576243200000004
502.0,7.2,11.587276800000001
503.0,4.0,6.437376
504.0,1.0,1.609344
505.0,0.0,0.0
506.0,0.0,0.0
507.0,0.0,0.0
508.0,0.0,0.0
509.0,0.0,0.0
510.0,0.0,0.0
511.0,1.2,1.9312128
512.0,3.5,5.632704
513.0,5.5,8.851392
514.0,6.5,10.460736
515.0,8.5,13.679424000000001
516.0,9.6,15.4497024
517.0,10.5,16.898112
518.0,11.9,19.151193600000003
519.0,14.0,22.530816
520.0,16.0,25.749504
521.0,17.7,28.4853888
522.0,19.0,30.577536000000002
523.0,20.1,32.347814400000004
524.0,21.0,33.796224
525.0,22.0,35.405568
526.0,23.0,37.014912
527.0,23.8,38.302387200000005
528.0,24.5,39.428928
529.0,24.9,40.0726656
530.0,25.0,40.2336
531.0,25.0,40.2336
532.0,25.0,40.2336
533.0,25.0,40.2336
534.0,25.0,40.2336
535.0,25.0,40.2336
536.0,25.6,41.19920640000001
537.0,25.8,41.521075200000006
538.0,26.0,41.842944
539.0,25.6,41.19920640000001
540.0,25.2,40.5554688
541.0,25.0,40.2336
542.0,25.0,40.2336
543.0,25.0,40.2336
544.0,24.4,39.2679936
545.0,23.1,37.175846400000005
546.0,19.8,31.865011200000005
547.0,16.5,26.554176000000002
548.0,13.2,21.2433408
549.0,9.9,15.932505600000002
550.0,6.6,10.6216704
551.0,3.3,5.3108352
552.0,0.0,0.0
553.0,0.0,0.0
554.0,0.0,0.0
555.0,0.0,0.0
556.0,0.0,0.0
557.0,0.0,0.0
558.0,0.0,0.0
559.0,0.0,0.0
560.0,0.0,0.0
561.0,0.0,0.0
562.0,0.0,0.0
563.0,0.0,0.0
564.0,0.0,0.0
565.0,0.0,0.0
566.0,0.0,0.0
567.0,0.0,0.0
568.0,0.0,0.0
569.0,3.3,5.3108352
570.0,6.6,10.6216704
571.0,9.9,15.932505600000002
572.0,13.0,20.921472
573.0,14.6,23.4964224
574.0,16.0,25.749504
575.0,17.0,27.358848000000002
576.0,17.0,27.358848000000002
577.0,17.0,27.358848000000002
578.0,17.5,28.163520000000002
579.0,17.7,28.4853888
580.0,17.7,28.4853888
581.0,17.5,28.163520000000002
582.0,17.0,27.358848000000002
583.0,16.9,27.1979136
584.0,16.6,26.715110400000004
585.0,17.0,27.358848000000002
586.0,17.1,27.519782400000004
587.0,17.0,27.358848000000002
588.0,16.6,26.715110400000004
589.0,16.5,26.554176000000002
590.0,16.5,26.554176000000002
591.0,16.6,26.715110400000004
592.0,17.0,27.358848000000002
593.0,17.6,28.324454400000004
594.0,18.5,29.772864000000002
595.0,19.2,30.8994048
596.0,20.2,32.5087488
597.0,21.0,33.796224
598.0,21.1,33.957158400000004
599.0,21.2,34.1180928
600.0,21.6,34.76183040000001
601.0,22.0,35.405568
602.0,22.4,36.0493056
603.0,22.5,36.21024
604.0,22.5,36.21024
605.0,22.5,36.21024
606.0,22.7,36.5321088
607.0,23.7,38.1414528
608.0,25.1,40.394534400000005
609.0,26.0,41.842944
610.0,26.5,42.647616
611.0,27.0,43.452288
612.0,26.1,42.003878400000005
613.0,22.8,36.693043200000005
614.0,19.5,31.382208000000002
615.0,16.2,26.0713728
616.0,12.9,20.760537600000003
617.0,9.6,15.4497024
618.0,6.3,10.1388672
619.0,3.0,4.828032
620.0,0.0,0.0
621.0,0.0,0.0
622.0,0.0,0.0
623.0,0.0,0.0
624.0,0.0,0.0
625.0,0.0,0.0
626.0,0.0,0.0
627.0,0.0,0.0
628.0,0.0,0.0
629.0,0.0,0.0
630.0,0.0,0.0
631.0,0.0,0.0
632.0,0.0,0.0
633.0,0.0,0.0
634.0,0.0,0.0
635.0,0.0,0.0
636.0,0.0,0.0
637.0,0.0,0.0
638.0,0.0,0.0
639.0,0.0,0.0
640.0,0.0,0.0
641.0,0.0,0.0
642.0,0.0,0.0
643.0,0.0,0.0
644.0,0.0,0.0
645.0,0.0,0.0
646.0,2.0,3.218688
647.0,4.5,7.2420480000000005
648.0,7.8,12.5528832
649.0,10.2,16.4153088
650.0,12.5,20.1168
651.0,14.0,22.530816
652.0,15.3,24.622963200000004
653.0,17.5,28.163520000000002
654.0,19.6,31.543142400000004
655.0,21.0,33.796224
656.0,22.2,35.7274368
657.0,23.3,37.4977152
658.0,24.5,39.428928
659.0,25.3,40.7164032
660.0,25.6,41.19920640000001
661.0,26.0,41.842944
662.0,26.1,42.003878400000005
663.0,26.2,42.1648128
664.0,26.2,42.1648128
665.0,26.4,42.4866816
666.0,26.5,42.647616
667.0,26.5,42.647616
668.0,26.0,41.842944
669.0,25.5,41.038272000000006
670.0,23.6,37.98051840000001
671.0,21.4,34.4399616
672.0,18.5,29.772864000000002
673.0,16.4,26.3932416
674.0,14.5,23.335488
675.0,11.6,18.6683904
676.0,8.7,14.0012928
677.0,5.8,9.3341952
678.0,3.5,5.632704
679.0,2.0,3.218688
680.0,0.0,0.0
681.0,0.0,0.0
682.0,0.0,0.0
683.0,0.0,0.0
684.0,0.0,0.0
685.0,0.0,0.0
686.0,0.0,0.0
687.0,0.0,0.0
688.0,0.0,0.0
689.0,0.0,0.0
690.0,0.0,0.0
691.0,0.0,0.0
692.0,0.0,0.0
693.0,0.0,0.0
694.0,1.4,2.2530816
695.0,3.3,5.3108352
696.0,4.4,7.081113600000001
697.0,6.5,10.460736
698.0,9.2,14.8059648
699.0,11.3,18.185587200000004
700.0,13.5,21.726144
701.0,14.6,23.4964224
702.0,16.4,26.3932416
703.0,16.7,26.8760448
704.0,16.5,26.554176000000002
705.0,16.5,26.554176000000002
706.0,18.2,29.2900608
707.0,19.2,30.8994048
708.0,20.1,32.347814400000004
709.0,21.5,34.600896000000006
710.0,22.5,36.21024
711.0,22.5,36.21024
712.0,22.1,35.566502400000005
713.0,22.7,36.5321088
714.0,23.3,37.4977152
715.0,23.5,37.819584000000006
